PC1,PC2,PC3,PC4,PC5,ticker
-2.4198711377356315,-1.1734707710705228,0.49977989336855927,0.8450781263131498,0.5545351445036739,TCS
-2.409268389898572,-1.767055749873005,0.43441615209885887,0.06867539230161289,1.1225241153792773,INFY
-1.346690462654214,1.2106978481639428,0.4577634901941714,1.1424540792577824,0.24489506309044556,RELIANCE
-0.3791416472667709,1.2456028890584527,-0.4049949153103381,-0.7883446287810856,1.8110254461543145,BEL
1.4787919174637745,-1.0576626991545517,-0.29568652864182804,1.0053627593269203,-0.6412704772865313,INDIGO
-1.209697869456122,-1.5688886146983068,0.05525975847764532,-0.3654016969103153,-0.25988633909575176,LTM
-1.9380122253471512,-2.061234805399834,-0.023078832560917934,-1.2061701178787438,1.0372302124215151,TECHM
-0.8714750300292434,-2.0578459290058566,0.34854443260218193,-1.0945061058465715,-0.2013615146580702,OFSS
-1.7304401350817833,0.753734854617273,0.1423443140534313,1.2914566775503156,-0.5236837307726456,HDFCBANK
-0.11278668097168623,0.07323781034956686,-0.449445899783882,1.242205819008411,-0.02192381139390767,HINDUNILVR
0.09701660634075297,1.7249451118801324,0.4941657155721372,-0.4236919551080799,0.044614229396287314,AXISBANK
-0.6973201252327528,0.5812883141916013,-0.07254816386129949,0.3048223438821139,-0.6187011379700675,KOTAKBANK
-1.2817054553772733,-0.05013814129665627,-0.17506595637290565,0.5161029601480425,-0.9296799785707368,HCLTECH
2.6168847659728613,-0.3114233852846655,0.4043264510107399,0.41596394714305784,1.1861324991975004,SOLARINDS
-0.2032110968851424,1.4807152592053467,0.3663474926784511,-0.8438174418491552,-0.27889700121909833,COALINDIA
-0.14088977625436802,0.18544756206841942,0.13444825069834576,0.22553093701647367,-0.930937526162231,ADANIENT
-0.7244041383853037,1.280400738554746,0.10446209652984037,0.9826120291624114,0.37423924173311174,BHARTIARTL
-0.5355975071731033,2.2883792090376547,0.7326194927261435,0.06820092591518097,0.3551278663595812,SBIN
-0.5775403467985806,1.1374483318719837,-0.1301965361894316,-0.045583641551361215,0.3423689421545873,SUNPHARMA
1.4398730789516563,0.11909911332484349,-0.7675089163813296,-0.26455837048402636,0.15442974577125235,LGEINDIA
1.3533643725994342,-0.45416571523207666,-1.222402018652828,0.20525170011807317,0.09439295642035578,MAXHEALTH
3.3989701970401995,-1.0797372704068542,3.96842624279962,0.23026124534275022,-0.11183982069459229,BOSCHLTD
-0.5341964775910762,0.8523125775890031,0.15105579293279336,-1.5660216532314524,-0.987539693631282,GMRAIRPORT
0.5445920850978225,-0.4919617671349501,-0.7663887521386213,-0.20951320111739316,-0.44712042536408864,MANKIND
3.1639314400333847,-0.2304704658826559,-1.7828422877148438,0.42347424730878674,1.1188493661988355,BHEL
1.266547013963105,-0.10754446259304101,-0.7308303320492083,-0.37354140239109224,-0.39412776206402145,DABUR
0.19848561558391611,-1.0175479753764165,-0.6054501040244192,0.017319266842762006,-1.240747647073356,MAZDOCK
0.6999231210395863,1.282275117732356,0.13461025613782657,-1.8296683480497848,-0.2738047443347927,OIL
0.8538682880522802,-0.7864369852359278,-1.002130588198891,0.02604610656121664,-0.5788432184895631,HAVELLS
