ticker,current_price,pe_ratio,log_market_cap,volatility,price_position_52w,dividend_yield
TCS,2596.3,19.67,29.871054069145305,0.66,0.03046922608165753,241.0
INFY,1304.9,18.61,29.294799768498617,1.24,0.08702143542710924,349.0
RELIANCE,1339.4,21.77,30.528335011985554,1.37,0.4518563235738005,41.0
BEL,455.75,55.78,28.834423314943333,0.4,0.971282550498905,96.0
INDIGO,4318.4,51.92,28.143574488184957,4.47,0.013096158803815228,22.0
LTM,4393.8,27.41,27.895300534757396,0.24,0.07365013296334819,152.0
TECHM,1349.9,25.92,27.80969545712448,0.33,0.2179646292274279,334.0
OFSS,6819.0,24.41,27.109222404942308,0.42,0.11815237290522462,190.0
HDFCBANK,876.2,19.536232,30.232449208098473,0.36388585,0.22199757379700802,1.25
HINDUNILVR,2283.7,53.1959,29.31120462037268,1.5901122,0.22283333333333302,1.85
AXISBANK,1334.9,15.842629,29.053552462572085,2.7251546,0.8010021474588407,0.07
KOTAKBANK,407.25,21.524841,29.02981249975333,1.4161235,0.3464944649446496,0.12
HCLTECH,1368.5,22.530457,28.940079465252733,0.18234865,0.13773960406410393,3.94
SOLARINDS,14400.0,89.513275,27.895733962201305,2.9380226,0.609900764229497,0.07
COALINDIA,435.5,8.9867935,28.618280258901205,2.170088,0.7531975367124585,5.16
ADANIENT,2074.6,18.742434,28.61750892338558,2.353384,0.2675324675324674,0.06
BHARTIARTL,1894.9,37.463425,30.077076904569267,1.1585112,0.5319718781386008,0.85
SBIN,1163.5,12.666014,30.004979787122632,2.2186759,0.8624686111647671,1.34
SUNPHARMA,1745.7,38.308098,29.0633682656562,0.38801992,0.6520448548812665,0.94
LGEINDIA,1544.4,59.860466,27.678187258546664,3.014318,0.516883116883117,0.0
MAXHEALTH,1055.6,72.69972,27.6586831288691,2.583741,0.3201051248357423,0.14
BOSCHLTD,33700.0,36.090256,27.625225516335984,4.721515,0.485440043935744,1.45
GMRAIRPORT,95.42,0.0,27.638530338881967,1.1084634,0.6249058498619132,0.0
MANKIND,2212.2,51.31524,27.54022877694107,1.482902,0.283868219255893,0.09
BHEL,249.4,107.03863,27.489948882461174,4.863628,0.52078032230704,0.19
DABUR,490.75,47.14217,27.492262834428818,3.31791,0.3997912317327766,1.58
MAZDOCK,2172.4,36.413006,27.498977412087815,1.6927738,0.028197198471893763,0.87
OIL,501.35,13.996371,27.427420433628463,2.7270901,0.8861809045226132,3.89
HAVELLS,1324.6,55.890293,27.4457911543166,2.1719878,0.17583195657304695,0.74
